,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
855,Nifty 100,NIFTY 100,2019-10-25,11794.5,11795.35,11641.95,11734.35
856,Nifty 100,NIFTY 100,2019-10-24,11817.45,11836.35,11690.85,11738.25
857,Nifty 100,NIFTY 100,2019-10-23,11758.85,11812.95,11713.9,11762.45
858,Nifty 100,NIFTY 100,2019-10-22,11806.05,11863.55,11733.5,11749.9
859,Nifty 100,NIFTY 100,2019-10-18,11715.1,11828.15,11688.05,11806.2
860,Nifty 100,NIFTY 100,2019-10-17,11592.6,11730.25,11567.3,11718.35
861,Nifty 100,NIFTY 100,2019-10-16,11580.8,11602.75,11537.55,11588.65
862,Nifty 100,NIFTY 100,2019-10-15,11475.15,11575.75,11457.65,11544.45
863,Nifty 100,NIFTY 100,2019-10-14,11444.6,11530.6,11403.9,11455.7
864,Nifty 100,NIFTY 100,2019-10-11,11368.9,11468.95,11299.5,11412.95
865,Nifty 100,NIFTY 100,2019-10-10,11390.1,11404.65,11320.4,11345.0
866,Nifty 100,NIFTY 100,2019-10-09,11263.8,11431.4,11200.95,11423.65
867,Nifty 100,NIFTY 100,2019-10-07,11320.55,11349.05,11225.3,11239.05
868,Nifty 100,NIFTY 100,2019-10-04,11516.45,11529.1,11287.5,11303.4
869,Nifty 100,NIFTY 100,2019-10-03,11458.9,11504.6,11393.55,11444.8
870,Nifty 100,NIFTY 100,2019-10-01,11655.5,11694.6,11380.8,11497.5
871,Nifty 100,NIFTY 100,2019-09-30,11643.55,11653.9,11532.1,11613.3
872,Nifty 100,NIFTY 100,2019-09-27,11700.65,11741.15,11651.25,11663.5
873,Nifty 100,NIFTY 100,2019-09-26,11609.5,11751.15,11606.3,11714.85
874,Nifty 100,NIFTY 100,2019-09-25,11713.1,11713.55,11558.75,11581.6
875,Nifty 100,NIFTY 100,2019-09-24,11741.25,11797.8,11685.75,11737.45
876,Nifty 100,NIFTY 100,2019-09-23,11692.05,11837.65,11630.3,11746.25
877,Nifty 100,NIFTY 100,2019-09-20,10891.55,11524.0,10831.4,11432.0
878,Nifty 100,NIFTY 100,2019-09-19,10986.45,10986.45,10812.7,10848.85
879,Nifty 100,NIFTY 100,2019-09-18,11007.9,11020.0,10938.25,10980.8
880,Nifty 100,NIFTY 100,2019-09-17,11137.15,11137.15,10931.55,10951.55
881,Nifty 100,NIFTY 100,2019-09-16,11123.9,11186.55,11100.65,11139.85
